"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Pokemon SHINY STAKATAKA GIVEAWAY Pokemon Ultra Sun And Ultra Moon: via @YouTube",FALSE,0,NA,2017-12-16 22:15:40,FALSE,NA,"942156296899440640",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MiloticMarolt",0,FALSE,FALSE,NA,NA
"2","RT @NerdOutMusic: Pokemon Song | Be The Best | #NerdOut ft aDrive, Shofu &amp; Matt Houston (Pokemon Ultra Sun &amp; Moon): ",FALSE,0,NA,2017-12-16 22:12:38,FALSE,NA,"942155536467931136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Golden_Pikachu",14,TRUE,FALSE,NA,NA
"3","Finally got Pokemon ultra moon. Decided to get ultra moon since I played sun already.",FALSE,0,NA,2017-12-16 22:10:32,FALSE,NA,"942155006177894400",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","ryankage",0,FALSE,FALSE,NA,NA
"4","Second grand trial done :) I'm enjoying Pokmon Ultra Sun a lot, I just wish I had more time to play it so that my ",FALSE,0,NA,2017-12-16 22:08:49,TRUE,NA,"942154572579115008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeauVO",0,FALSE,FALSE,NA,NA
"5","RT @alequiaa: I missed u so much.... Pokmon ultra sun and animal crossing here I come ",FALSE,0,NA,2017-12-16 22:07:48,FALSE,NA,"942154316156227585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ToriTojikome",2,TRUE,FALSE,NA,NA
"6","I liked a @YouTube video Mewmore / 'Mantine Surf' (Remix) from Pokmon Ultra Sun &amp; Ultra Moon",FALSE,0,NA,2017-12-16 22:06:26,FALSE,NA,"942153974744014849",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","NVPlays",0,FALSE,FALSE,NA,NA
"7","I'm really, really sorry but even as I play through Pokmon Ultra Sun, I still don't understand why people love Tea ",FALSE,0,NA,2017-12-16 22:05:54,TRUE,NA,"942153838856990720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeauVO",0,FALSE,FALSE,NA,NA
"8","RT @alequiaa: I missed u so much.... Pokmon ultra sun and animal crossing here I come ",FALSE,0,NA,2017-12-16 22:02:47,FALSE,NA,"942153056661200896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","castielmishas",2,TRUE,FALSE,NA,NA
"9","I missed u so much.... Pokmon ultra sun and animal crossing here I come ",FALSE,37,NA,2017-12-16 22:00:53,FALSE,NA,"942152576161652736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alequiaa",2,FALSE,FALSE,NA,NA
"10","I liked a @YouTube video inkay | Pokemon Ultra Sun &amp; Ultra Moon Randomizer Nuzlocke - 14 w/ TheHeatedMo",FALSE,0,NA,2017-12-16 21:59:21,FALSE,NA,"942152190369648641",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","IrateInfernape",0,FALSE,FALSE,NA,NA
"11","I liked a @YouTube video MY HEART STOPPED - Pokmon ULTRA Sun &amp; Moon RANDOMIZER Nuzlocke Episode 11!",FALSE,0,NA,2017-12-16 21:53:38,FALSE,NA,"942150752952254464",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","AmberLuxray",0,FALSE,FALSE,NA,NA
"12","So I'm going to get a $100 visa gift card to put on my 3ds and I know that i'm getting pokemon ultra sun but what o ",FALSE,0,NA,2017-12-16 21:51:22,TRUE,NA,"942150181847470086",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Jeremia42957613",0,FALSE,FALSE,NA,NA
"13","sub to my channel! i was gonna do akinator but now ill do pokemon ultra sun hopefully thx",FALSE,0,NA,2017-12-16 21:47:48,FALSE,NA,"942149284593586179",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OmarDoesYoutube",0,FALSE,FALSE,NA,NA
"14","RT @UnitedGamer101: NEW 2DS XL GIVEAWAY!!!!

RT &amp; FOLLOW for a chance to win a New Pokemon 2DS XL

ENDS DEC 24th

ULTRA SUN/MOON GIVEAWAY:",FALSE,0,NA,2017-12-16 21:46:29,FALSE,NA,"942148952341626880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pineapple424",291,TRUE,FALSE,NA,NA
"15","@Lcd_101 Speaking of Pokemon, do you have the time to help me evolve my Kadabra in Ultra Sun?",FALSE,1,"Lcd_101",2017-12-16 21:44:10,FALSE,"942148116656123909","942148369891446785","716291976342204417","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tasos500",0,FALSE,FALSE,NA,NA
"16","The second half of the @Pokemon theme introduced w/ Ruby and Sapphire is perfection in Ultra Sun and Moon.",FALSE,0,NA,2017-12-16 21:37:16,FALSE,NA,"942146635488006145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PurplesnickNick",0,FALSE,FALSE,NA,NA
"17","I liked a @YouTube video Top 5 STRONGEST Ultra Beasts in Pokemon Ultra Sun and Pokemon Ultra Moon",FALSE,0,NA,2017-12-16 21:36:36,FALSE,NA,"942146464821731330",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MysticFates",0,FALSE,FALSE,NA,NA
"18","I liked a @YouTube video MY HEART STOPPED - Pokmon ULTRA Sun &amp; Moon RANDOMIZER Nuzlocke Episode 11!",FALSE,0,NA,2017-12-16 21:35:49,FALSE,NA,"942146269564276737",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Rainbowdash546",0,FALSE,FALSE,NA,NA
"19","I liked a @YouTube video ""CTC STAKATAKA SQUADS"" Pokemon Ultra Sun &amp; Moon! OU Showdown Live w/PokeaimMD",FALSE,0,NA,2017-12-16 21:32:26,FALSE,NA,"942145416040239104",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","ShiftyShiftry",0,FALSE,FALSE,NA,NA
"20","KAHUNA OLIVIA BATTLE! | Pokemon Ultra Sun EXTREME Randomizer Nuzlocke Part 11: via @YouTube",FALSE,1,NA,2017-12-16 21:32:09,FALSE,NA,"942145346767081474",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","UnitedGamer101",0,FALSE,FALSE,NA,NA
"21","I liked a @YouTube video ""POWER OVERLOAD"" Pokmon Ultra Sun Playthrough w/ @Ace_Arcanine Ep. 35",FALSE,0,NA,2017-12-16 21:30:41,FALSE,NA,"942144979304157184",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","vsinghb_",0,FALSE,FALSE,NA,NA
"22","LEADER OF THE SEA!!! Pokmon Ultra Sun &amp; Ultra Moon Let's Play Ep 57 w/TheRapidRapidash: via @YouTube",FALSE,0,NA,2017-12-16 21:30:03,FALSE,NA,"942144816024117248",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","RapidRapidash",0,FALSE,FALSE,NA,NA
"23","@Data_DaveLive For my ultra sun team should I use Sylveon and Alolan Riachu, or Sylveon and Togedemaru, or Dedenne and o different Pokmon",FALSE,0,"Data_DaveLive",2017-12-16 21:27:36,FALSE,NA,"942144200316817408","2578130724","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DePeuterGames",0,FALSE,FALSE,NA,NA
"24","RT @NerdOutMusic: Pokemon Song | Be The Best | #NerdOut ft aDrive, Shofu &amp; Matt Houston (Pokemon Ultra Sun &amp; Moon): ",FALSE,0,NA,2017-12-16 21:25:12,FALSE,NA,"942143595569729536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarchelloSan",14,TRUE,FALSE,NA,NA
"25","I liked a @YouTube video Pokemon Ultra Sun &amp; Ultra Moon VGC 2018 BattleSpot Wifi - DEJAVU - TROLLED AGAIN? w/",FALSE,0,NA,2017-12-16 21:24:35,FALSE,NA,"942143441676447744",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","ScribbleNoodle",0,FALSE,FALSE,NA,NA
"26","I liked a @YouTube video 10 Reasons Pokemon Ultra Sun And Ultra Moon Are Better Than Pokemon Sun And Moon",FALSE,0,NA,2017-12-16 21:21:53,FALSE,NA,"942142762081832960",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","zacwhalen",0,FALSE,FALSE,NA,NA
"27","I liked a @YouTube video Top 5 STRONGEST Ultra Beasts in Pokemon Ultra Sun and Pokemon Ultra Moon",FALSE,0,NA,2017-12-16 21:19:20,FALSE,NA,"942142119904497664",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MigsXIII",0,FALSE,FALSE,NA,NA
"28","My team at the end of Ultra Sun! #Pokemon #UltraSun ",FALSE,1,NA,2017-12-16 21:18:59,FALSE,NA,"942142034550276096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpiffyChicken1",0,FALSE,FALSE,NA,NA
"29","I liked a @YouTube video Necrozma, Origin of Z-Crystals Cutscene - Pokmon Ultra Sun and Moon",FALSE,0,NA,2017-12-16 21:18:50,FALSE,NA,"942141993379139585",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","StevenHenrique7",0,FALSE,FALSE,NA,NA
"30","Pokemon Ultra Sun - Part 30 - THE  MASKED ROYAL?! ...and Guzma! via @YouTube @pokemon #nintendo #pokemonultrasunmoon",FALSE,0,NA,2017-12-16 21:16:38,FALSE,NA,"942141443396722688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheSLNOfficial",0,FALSE,FALSE,NA,NA
"31","RT @NerdOutMusic: Pokemon Song | Be The Best | #NerdOut ft aDrive, Shofu &amp; Matt Houston (Pokemon Ultra Sun &amp; Moon): ",FALSE,0,NA,2017-12-16 21:16:21,FALSE,NA,"942141372378898433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Whovian101794",14,TRUE,FALSE,NA,NA
"32","I liked a @YouTube video Necrozma, Origin of Z-Crystals Cutscene - Pokmon Ultra Sun and Moon",FALSE,0,NA,2017-12-16 21:14:27,FALSE,NA,"942140891443146761",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","gatta1000",0,FALSE,FALSE,NA,NA
"33","I liked a @YouTube video ""MOET CANT LOSE"" Pokemon Ultra Sun &amp; Moon! Partners in Crime Showdown Live",FALSE,0,NA,2017-12-16 21:13:08,FALSE,NA,"942140560583921665",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","DaVonSpecz",0,FALSE,FALSE,NA,NA
